主字段,章节,等级,知识解析,拓展解析
命门学说,中医基础理论::绪论::形成与发展::明,2,核心::命门所藏的[[阴阳水火]]是全身五脏六腑阴阳的根本<br>###地位::命门是调节全身脏腑阴阳的[[枢纽]]，其阴阳盛衰决定全身脏腑阴阳盛衰,学派::[[温补学派]]代表：张介宾、赵献可
张介宾,中医基础理论::绪论::形成与发展::明,2,"著作::《景岳全书》<br>###主张::提出""[[阳非有余]]""""[[真阴不足]]""的见解，对朱丹溪""阳有余阴不足论""提出不同看法",治法::强调温补[[肾阳]]和滋养[[肾阴]]在养生康复与防治疾病中的重要性
赵献可,中医基础理论::绪论::形成与发展::明,3,"著作::《医贯》<br>###主张::认为[[命门]]为人身之主，注重""命门之火""在养生、防病中的重要意义",学派::属温补学派，与张介宾同为主张温补命门之火的代表
《本草纲目》,中医基础理论::绪论::形成与发展::明,2,作者::李时珍<br>###内容::载中药[[1892种]]，分为[[16部60类]]，总结明以前历代药物学实践经验和理论,影响::在世界医药学发展史上具有重要地位<br>###脉学::另著《濒湖脉学》，论脉精辟，为脉学门径之书，流传甚广
李中梓,中医基础理论::绪论::形成与发展::明,2,"主张::提出""[[肾为先天本，脾为后天本]]""""[[乙癸同源]]""的见解",治法::主张治疗疾病当固[[先后天根本]]
吴又可,中医基础理论::绪论::形成与发展::明,1,"著作::《温疫论》<br>###学说::创【[*戾气::不同于六淫的一类强烈致病邪气*]】学说，提出温疫病因为""戾气""而非一般[[六淫]]病邪","特征::戾气多""从口鼻而入""，常相互传染形成广泛流行；不同疫病有不同发病季节；人与禽畜皆有疫病<br>###名言::""非风非寒非暑非湿，乃天地间别有一种异气所成"""
明代其他著作,中医基础理论::绪论::形成与发展::明,3,徐春甫::《古今医统大全》辑录[[230余部]]医籍，为著名中医学全书<br>###王肯堂::《证治准绳》以临床各科疾病方证为主，为著名中医学临床医学丛书,
温病理论概述,中医基础理论::绪论::形成与发展::清,1,定义::温病是感受[[温邪]]所引起的一类外感急性热病的总称<br>###发展::理论源自《内经》《难经》《伤寒杂病论》，至[[明清]]臻于成熟,贡献者::明代吴有性及清代叶桂、薛雪、吴玠、王士雄等对温病理论和实践创新作出卓越贡献
叶桂,中医基础理论::绪论::形成与发展::清,1,"著作::《温热论》<br>###学说::创温热病的[[卫气营血辨证]]理论<br>###传变::阐明卫→气→营→血四阶段顺传；""[[温邪上受，首先犯肺，逆传心包]]""为逆传","杂病::《临证指南医案》提出""[[久病入络]]""""[[久痛入络]]""之论，完善创新了络病学说"
薛雪,中医基础理论::绪论::形成与发展::清,2,著作::《湿热条辨》<br>###贡献::创新温病理论的[[湿热病因]]理论，阐明湿热病的病因、症状、传变规律、治则治法,地位::与叶桂、吴玠、王士雄并称为温病四大家
吴玠,中医基础理论::绪论::形成与发展::清,1,"著作::《温病条辨》<br>###学说::创立温热病的[[三焦辨证]]理论<br>###传变::""凡病温者，始于上焦，在手太阴""→上焦传中焦（胃与脾）→中焦传下焦（肝与肾）",
王士雄,中医基础理论::绪论::形成与发展::清,2,"著作::《温热经纬》《霍乱论》<br>###贡献::明确提出""[[新感]]""""[[伏邪]]""两大辨证纲领",方法::以《内经》《伤寒论》理论为经，取叶桂、薛雪等诸家之说为纬，重视审同察异、灵活施治
吴谦,中医基础理论::绪论::形成与发展::清,3,著作::《医宗金鉴》<br>###地位::太医院的中医学[[教科书]]<br>###内容::临床各科理法方药歌诀俱备,
王清任,中医基础理论::绪论::形成与发展::清,2,"著作::《医林改错》<br>###贡献::改正古医籍中人体解剖方面某些错误；肯定""[[灵机记性不在心在脑]]""",理论::发展了[[瘀血致病]]理论，创立多首治疗瘀血病证的有效方剂，对气血理论发展作出重要贡献
整体观念,中医基础理论::绪论::基本特点::整体观念,1,定义::人体是一个[[有机的整体]]，并与[[自然环境]]、[[社会环境]]相统一,内容::包括两大方面：人体是有机整体；人与外界环境（自然、社会）的统一性
五脏一体观,中医基础理论::绪论::基本特点::整体观念,1,定义::人体的各个部分在功能结构上是[[完整统一]]的<br>###内容::以五脏为中心，配合六腑，通过经络系统联络五体、五官、九窍等，构成有机整体,
形神一体观,中医基础理论::绪论::基本特点::整体观念,1,"定义::人的[[形体]]与[[精神]]相互依附、不可分割<br>###表述::即""[[形与神俱]]""",
精气神一体观,中医基础理论::绪论::基本特点::整体观念,1,定义::精、气、神为人之[[三宝]]<br>###关系::精可化气，气可化精，[[精气生神]]，精气养神，而神驭精与气,补充::精可概括为精、血、津液
病理与诊治整体性,中医基础理论::绪论::基本特点::整体观念,2,"病理::分析病证机制时着眼整体，""[[有诸内，必形诸外]]""<br>###诊断::""视其外应，以知其内脏""——整体把握[[病机]]<br>###治疗::""从阴引阳，从阳引阴""；""病上者下取之，病下者上取之""",
人与自然—季节气候,中医基础理论::绪论::基本特点::整体观念,1,"生理::四时春温夏热秋凉冬寒对应春生夏长秋收冬藏，人体须与之适应<br>###脉象::""[[春弦夏洪，秋毛冬石]]，四季和缓，谓之平脉""<br>###经络::""天温日明则血津液而卫气浮，天寒日阴则人血凝泣而卫气沉""","病理::""春善病鼽衄，仲夏善病胸胁，长夏善病洞泄寒中，秋善病风疟，冬善病痹厥""<br>###汗液::""天暑衣厚则腠理开，故汗出；天寒则腠理闭……水下留于膀胱，则为溺与气"""
人与自然—因时防治,中医基础理论::绪论::基本特点::整体观念,1,"原则::[[因时制宜]]，四时养生<br>###名言::""必先岁气，无伐天和""；""法于四时""；""[[春夏养阳，秋冬养阴]]""；""虚邪贼风，避之有时""","治法::""[[冬病夏治]]""""[[夏病冬治]]""；""动作以避寒，阴居以避暑"""
人与自然—昼夜晨昏,中医基础理论::绪论::基本特点::整体观念,2,"生理::""阳气者，一日而主外，[[平旦人气生]]，日中而阳气隆，日西而阳气已虚，气门乃闭""<br>###病理::""夫百病者，多以[[旦慧、昼安、夕加、夜甚]]""","防治::""【[*子午流注针法::按日按时辰选取特定穴位进行针灸的方法*]】"""
人与自然—地域环境,中医基础理论::绪论::基本特点::整体观念,2,"生理::地域气候差异影响人体：江南多湿热，腠理多稀疏；北方多寒燥，腠理多致密<br>###防治::[[因地制宜]]，""医之治病也，一病而治各不同，皆愈……地势使然也""","病理::""小者小异""""大者大异""，东方之域其病为痈疡，南方者其病为挛痹"
人与社会环境,中医基础理论::绪论::基本特点::整体观念,2,"生理::社会环境不同，造就个人身心机能与体质的差异<br>###病理::剧烈骤然变化的社会环境影响脏腑经络生理功能；""[[尝贵后贱]]""可致""脱营""，""[[尝富后贫]]""可致""失精""",
病·症·证,中医基础理论::绪论::基本特点::辨证论治,1,病::邪气作用人体引起机体阴阳失调的完整生命过程，有特定病因、发病规律和病理演变（[[全过程]]）<br>###症::疾病过程中个别、孤立的现象，包括症状与体征（[[现阶段]]）<br>###证::疾病发展过程中某一阶段或某一类型的病理概括，包含病因、病位、病性、病势及邪正关系（[[阶段性]]）,区别::病是全过程的异常生命过程；症是孤立的外在表现；证是阶段性病机本质概括
辨证,中医基础理论::绪论::基本特点::辨证论治,1,定义::将四诊收集的症状与体征，辨清病因、病性、病位、病势，综合判断为某种性质的证候<br>###四辨::辨[[病因]]（发生原因与机理）、辨[[病位]]（疾病所在部位）、辨[[病性]]（虚实寒热）、辨[[病势]]（发展变化趋势及转归）,
论治,中医基础理论::绪论::基本特点::辨证论治,1,定义::根据辨证分析确定治疗原则与治疗方法<br>###步骤::[[因证立法]]→[[随法选方]]→[[据方施治]],关系::辨证是论治的[[前提与依据]]；论治是治疗手段与方法，也可检验辨证正确与否
同病异治,中医基础理论::绪论::基本特点::辨证论治,1,定义::同一种疾病，因多种因素导致证候不同，治疗也有差异<br>###举例::感冒因病因病机和体质差异出现风寒、风热等不同证候，有辛温解表、辛凉解表等不同治法,举例::麻疹不同阶段治法不同：初期解表透疹，中期清肺热，后期滋养肺胃阴
异病同治,中医基础理论::绪论::基本特点::辨证论治,1,定义::不同疾病出现大致相同的病机和证，可用大致相同的治法<br>###举例::久泻脱肛和子宫下垂均表现为[[中气下陷证]]，均可[[升提中气]],"核心::中医治病着眼于[[病机]]的区别，""证同治亦同，证异治亦异"""
精气学说概述,中医基础理论::中医哲学基础::精气学说,1,定义::研究[[精气]]内涵及其运动变化规律的学说，是有关宇宙生成及发展变化的古代哲学思想<br>###核心::精气是宇宙的[[本原]]；宇宙是万物相通的[[有机整体]]；人类亦由精气构成,来源::精气首见于《周易·系辞上》与《管子》<br>###发展::精气概念源于【[*水地说::将水中之精视为万物本原的古代哲学认识*】，气概念源于【[*云气说::以云气变化来认识气的古代哲学认识*】，后汇流发展为[[气一元论]]
精的概念,中医基础理论::中医哲学基础::精气学说,1,定义::精，又称精气，一般[[泛指气]]，是充塞宇宙之中的无形而运动不息的极细微物质<br>###特指::某些情况下专指气中的[[精粹部分]]，是构成人类的本原,哲学::《论衡》认为精气是[[元气]]最精微的部分，是构成人体及其道德精神的精微之气<br>###发展::精气概念存在于宇宙中无形而动的精微客观实在，与气概念同一，汇流于气学范畴，发展为气一元论
气的概念,中医基础理论::中医哲学基础::精气学说,1,定义::存在于宇宙中不断运动且[[无形可见]]的极细微物质，是宇宙万物的共同构成本原,来源::气的概念源于[[云气说]]
精气是宇宙本原,中医基础理论::中医哲学基础::精气学说,1,原理::宇宙中一切事物都由精或气构成，万物的生成皆为精或气自身运动的结果<br>###无形::精气处于[[弥散]]而运动的状态，充塞宇宙空间，是精气的[[基本存在形式]]<br>###有形::精气处于[[凝聚]]而稳定的状态，有形之物为气凝聚而成,"转化::无形之气凝聚成有质之形，形散质溃又复归于无形之气，""无形""与""有形""处于不断转化中"
气机,中医基础理论::中医哲学基础::精气学说,1,定义::【[*气机::气的运动*】，是精气运动变化的基本形式<br>###形式::气运行的形式为[[升降聚散]],
气化,中医基础理论::中医哲学基础::精气学说,1,定义::【[*气化::气的运动所产生的各种变化*】<br>###形式::①气与形转化：无形之气聚合成有形之物（[[气生形]]），有形之物消散化为无形之气（[[形化气]]）；②形与形转化：有形之物相互转化；③气与气转化：天气下降为地气，地气上腾为天气；④有形之体自身更新变化,"化变::""物生谓之[[化]]""（气的缓和运动促成的变化）；""物极谓之[[变]]""（气的剧烈运动促成的显著变化）"
精气的中介作用,中医基础理论::中医哲学基础::精气学说,1,"定义::精气是天地万物相互联系的[[中介]]<br>###联系::维系天地万物之间的相互联系（""人与天地相参也，与日月相应也""""天地一体""）<br>###感应::使万物得以相互感应（""类同则召，气同则合，声比则应""）",举例::乐器共振共鸣、磁石吸铁、日月吸引海水形成潮汐、季节气候变化影响人的生理与病理等<br>###原理::形由气化，气充形间，气能感物，物感则应，有形之物与无形之气不论远近皆能相互感应
精气学说对中医学的影响,中医基础理论::中医哲学基础::精气学说,1,精理论::中医学的精指藏于脏腑中的液态精华物质，包括[[先天之精]]（父母遗传）和[[后天之精]]（水谷之精）；精气学说对精理论产生起到方法学作用<br>###气理论::中医学的气指人体内生命力很强、不断运动且无形可见的极细微物质，是激发和调控生命活动的动力源泉,整体观念::精气学说对中医学整体观念的构建产生重要影响：人体自身是有机整体，人与自然、社会环境相统一
阴阳基本概念,中医基础理论::中医哲学基础::阴阳学说::基本概念,1,"定义::自然界相互关联的某些事物或现象[[对立双方]]属性的概括<br>###名言::""阴阳者，[[天地之道也]]，万物之纲纪，变化之父母，生杀之本始，神明之府也，治病必求于本""","征兆::""水火者，阴阳之[[征兆]]也""——水火是阴阳最典型的代表"
阴阳属性,中医基础理论::中医哲学基础::阴阳学说::基本概念,1,阳::[[运动、外向、上升、温热、明亮、无形、兴奋]]<br>###阴::[[静止、内守、下降、寒凉、晦暗、有形、抑制]],"名言::""天地者，万物之上下也；阴阳者，血气之男女也；左右者，阴阳之道路也"""
阴阳特性-普遍性,中医基础理论::中医哲学基础::阴阳学说::基本概念,1,定义::阴阳代表自然界中普遍存在的既相互对立又相互关联的众多事物<br>###范围::概括宇宙万物发生发展变化及相互关系，包括人体组织结构、生理功能、病机变化及诊断治疗,"名言::""人生有形，[[不离阴阳]]"""
阴阳特性-关联性与规定性,中医基础理论::中医哲学基础::阴阳学说::基本概念,1,关联性::划分阴阳的对立事物必须共处于[[同一范畴、同一层次、同一统一体]]中，如寒与上、昼与外不能用阴阳概括<br>###规定性::阴阳各自属性有明确规定，具有[[不可变性]]和[[不可反称性]]，如水属阴、火属阳不可反称,注::规定性又称绝对性（九版教材）；人体脏腑中心阴心阳、肾阴肾阳、肝阴肝阳皆有特定内涵不可反称
阴阳特性-相对性,中医基础理论::中医哲学基础::阴阳学说::基本概念,1,"定义::事物阴阳属性并非一成不变，""阴阳二字，因以对待而言，所指无定在""<br>###表现::①[[互相转化]]：阴可转阳、阳可转阴；②[[无限可分]]：阳中有阳、阳中有阴，""数之可十，推之可百""；③阴阳属性[[随比较对象而变]]",
阴阳基本内容概述,中医基础理论::中医哲学基础::阴阳学说::基本内容,1,内容::[[对立制约]]、[[互根互用]]、[[交感互藏]]、[[消长平衡]]、[[相互转化]]<br>###层次::最基本规律：对立制约与互根互用；基本形式：消长与转化,
对立制约,中医基础理论::中医哲学基础::阴阳学说::基本内容,1,"定义::阴阳双方在一个统一体内[[相互斗争、相互排斥和相互制约]]<br>###地位::[[最基本规律]]，强调a制b，b制a<br>###平衡::""[[阴平阳秘]]，精神乃治""——阴阳相互制约而达到协调平衡","举例::春夏阳气上升抑制寒凉之气，秋冬阴气上升抑制温热之气；""动极者镇之以静，阴亢者胜之以阳"""
对立制约-临床意义,中医基础理论::中医哲学基础::阴阳学说::基本内容,1,"太过::""[[阴胜则阳病]]，[[阳胜则阴病]]""<br>###不及::""[[阳虚则阴盛]]""""[[阴虚则阳亢]]""；或""阳虚则寒""""阴虚则热""",治疗::[[寒者热之]]，[[热者寒之]]；阳病治阴，阴病治阳
互根互用,中医基础理论::中医哲学基础::阴阳学说::基本内容,1,"互根::阴阳[[相互依存]]，互为根本——""无阴则阳无以生，无阳则阴无以化""<br>###互用::阴阳[[相互资生]]，促进和助长——""阴在内，阳之守也；阳在外，阴之使也""<br>###地位::[[最基本规律]]，强调没有a就没有b","病理::互根互用关系破坏则""[[孤阴不生，独阳不长]]""，甚则""阴阳离绝，精气乃绝""或""阴损及阳，阳损及阴"""
互根互用-临床应用,中医基础理论::中医哲学基础::阴阳学说::基本内容,2,"治法::基于互根理论：阴中求阳、阳中求阴；补气生血、补血养气<br>###生理::""阳生阴长，阳杀阴藏""；精与气、气与血关系；白天兴奋与夜晚抑制相统一","失调::昼夜精寐关系失调则""昼不精，夜不瞑"""
交感互藏,中医基础理论::中医哲学基础::阴阳学说::基本内容,2,"交感::阴阳[[相互发生作用]]，是宇宙万物生成和变化的根源——""天地氤氲，万物化醇；男女构精，万物化生""<br>###互藏::阴阳双方都[[蕴含着另一方]]——""天本阳也，然阳中有阴；地本阴也，然阴中有阳""",动力::阴阳互藏是交感合和的[[动力根源]]，是构筑互根互用的基础和纽带，还是消长与转化的[[内在根据]]
消长平衡,中医基础理论::中医哲学基础::阴阳学说::基本内容,1,定义::阴阳[[数量多少]]发生变化，可稳定在一定范围内<br>###根本原因::消长根本原因在于阴阳[[对立制约]]与[[互根互用]]<br>###层次::消长（[[量变]]）是转化的前提，转化（[[质变]]）是消长的结果,制约::对立制约→阴阳[[互为消长]]：阴长阳消、阳长阴消<br>###互根::互根互用→阴阳[[皆消皆长]]：此长彼亦长，此消彼亦消
消长平衡-主要体现,中医基础理论::中医哲学基础::阴阳学说::基本内容,2,"互为消长::①""[[阳长阴消]]""：从冬至春及夏，气候从寒转暖变热；②""[[阴长阳消]]""：由夏至秋及冬，气候由热转凉变寒<br>###皆消皆长::春夏气温升高→降雨量增多（阴阳皆长）；秋冬气候转凉→降雨量减少（阴阳皆消）","生命::""年四十而[[阴气自半]]也，起居衰矣""——上半生阴随阳长，下半生阳随阴消"
消长平衡-病理与治疗,中医基础理论::中医哲学基础::阴阳学说::基本内容,2,"对立制约::""阴胜则阳病，阳胜则阴病；阳胜则热，阴胜则寒""；""阳虚阴盛""""阴虚阳亢""<br>###互根互用::""[[精气两虚]]""""[[气血两虚]]""""[[阴损及阳]]""""[[阳损及阴]]""","治疗::""[[壮水之主，以制阳光]]""；""[[益火之源，以消阴翳]]"""
相互转化,中医基础理论::中医哲学基础::阴阳学说::基本内容,1,"定义::在一定条件下，阴阳可以向其[[相反的方向]]转化（重、极、甚）<br>###名言::""[[物极必反]]""""[[重阴必阳，重阳必阴]]""""寒极生热，热极生寒""",关系::阴阳互藏互根是转化的[[内在根据]]；消长是转化的[[前提]]；转化（质变）是消长（量变）的[[结果]]
相互转化-形式,中医基础理论::中医哲学基础::阴阳学说::基本内容,2,渐变::四季寒暑交替、一天昼夜转化<br>###突变::夏季酷热骤冷和冰雹突袭；急性热病由高热突然出现体温下降、[[四肢厥冷]],"名言::""物生谓之化，物极谓之变""""成败倚伏生乎动，动而不已，则变作矣"""
说明人体组织结构,中医基础理论::中医哲学基础::阴阳学说::在中医学中的运用,1,部位::阳：上部、体表、背、四肢外侧；阴：下部、体内、腹、四肢内侧<br>###脏腑::阳：[[六腑]]；阴：[[五脏]]<br>###经络::阳：手足三阳经、阳维、阳跷、[[督脉]]；阴：手足三阴经、阴维、阴跷、[[任脉]],
概括生理功能,中医基础理论::中医哲学基础::阴阳学说::在中医学中的运用,1,物质::说明生理活动物质基础：精、气、血、津液<br>###形式::说明生理活动基本形式：[[升降出入]]<br>###脏腑::说明脏腑生理功能及关系<br>###防御::说明机体防御功能：卫阳、营阴,
分析病因阴阳属性,中医基础理论::中医哲学基础::阴阳学说::在中医学中的运用,2,阳因::六淫中[[风暑热（火）]]属阳<br>###阴因::[[寒湿]]属阴；饮食居处、情志失调等属阴,
病理-阴阳偏盛,中医基础理论::中医哲学基础::阴阳学说::在中医学中的运用,1,总则::[[邪气盛则实]]<br>###阳偏盛::[[阳胜则热]]（实热证）；[[阳胜则阴病]]（实热伤阴）<br>###阴偏盛::[[阴胜则寒]]（实寒证）；[[阴胜则阳病]]（实寒伤阳）,
病理-阴阳偏衰,中医基础理论::中医哲学基础::阴阳学说::在中医学中的运用,1,总则::[[精气夺则虚]]<br>###阳偏衰::[[阳虚则寒]]（虚寒证）<br>###阴偏衰::[[阴虚则热]]（虚热证）,
病理-阴阳互损与转化,中医基础理论::中医哲学基础::阴阳学说::在中医学中的运用,1,阳损及阴::[[阳虚]]为主的阴阳两虚——阳虚延及阴虚<br>###阴损及阳::[[阴虚]]为主的阴阳两虚——阴虚延及阳虚<br>###转化::阳证转阴：热证高热不退→出现四肢厥冷（虚寒）；阴证转阳：外感寒湿证误治后出现高热等实热证,
用于诊断,中医基础理论::中医哲学基础::阴阳学说::在中医学中的运用,2,四诊::色泽：鲜明属阳，晦暗属阴；气息、寒热动静喜恶、脉象均分阴阳<br>###概括::病证可分为[[阴证]]、[[阳证]],
指导养生,中医基础理论::中医哲学基础::阴阳学说::在中医学中的运用,2,"原则::""必先岁气，无伐天和""；""法于四时""""四气调神""<br>###方法::""[[春夏养阳，秋冬养阴]]""；""虚邪贼风，避之有时""；""[[冬病夏治]]，夏病冬养""",
治则-阴阳偏盛,中医基础理论::中医哲学基础::阴阳学说::在中医学中的运用,1,"总则::""[[实则泻之]]""（损其有余）<br>###未虚::单纯泻之——寒者热之、热者寒之<br>###有虚::泻兼[[兼顾不足]]：阳盛兼阴虚→清热兼顾滋阴；阴盛兼阳虚→散寒兼顾补阳",举例::肝火盛加生地、黄连以清心火
治则-阴阳偏衰-直接补,中医基础理论::中医哲学基础::阴阳学说::在中医学中的运用,1,"总则::""[[虚则补之]]""（补其不足）<br>###阴虚::滋阴壮水 = ""[[壮水之主，以制阳光]]"" = [[阳病治阴]]（""诸寒之而热者，取之阴""）<br>###阳虚::扶阳益火 = ""[[益火之源，以消阴翳]]"" = [[阴病治阳]]（""诸热之而寒者，取之阳""）",巧记::正面为虚——滋、益、取、壮、求、治均为正面，动词后面是目的，是需要补的。如扶阳抑阴、益火、取之阳、求阳都表示[[阳虚]]；反之为阴虚
治则-阴阳偏衰-间接补,中医基础理论::中医哲学基础::阴阳学说::在中医学中的运用,1,"原则::[[阴中求阳]]与[[阳中求阴]]（《景岳全书》）<br>###阴中求阳::""善补阳者，必于阴中求阳，则阳得阴助而[[生化无穷]]""——补阳时佐以补阴药，用于阳虚证<br>###阳中求阴::""善补阴者，必于阳中求阴，则阴得阳升而[[泉源不竭]]""——补阴时佐以补阳药，用于阴虚证",
治则-阴阳互损,中医基础理论::中医哲学基础::阴阳学说::在中医学中的运用,1,总则::[[阴阳双补]]<br>###阳损及阴::补[[阳]]为主，兼顾补阴<br>###阴损及阳::补[[阴]]为主，兼顾补阳,
药物性能阴阳归纳,中医基础理论::中医哲学基础::阴阳学说::在中医学中的运用,2,阳药::性：热、温；味：辛甘淡；趋势：[[升浮]]<br>###阴药::性：寒、凉；味：酸苦咸；趋势：[[沉降]],阳功::升阳发热、祛风散寒、涌吐开窍<br>###阴功::泻下清热、利尿、重镇安神、潜阳息风、消导积滞、降逆、收敛
