ID,Chapter,Question,Type,Options,Answer,ClozeText,AnswerText,Analysis,Refrence
recuNmjdrap6NH,黄帝内经篇::一级,11. 巨阳者，诸阳之属也(《素问·热论》),词语解释题,,,,巨阳者，诸阳之属也：督脉为阳脉之海，阳维脉维系三阳经，二者总会风府而与太阳经脉相连，所以太阳经脉能统率人身之阳气。巨阳，即太阳。属，统率、聚会之意。,“巨阳者，诸阳之属也”指出太阳经（巨阳）是人身阳气的统率与汇聚之处。太阳经与督脉（阳脉之海）、阳维脉（维系三阳经）在风府穴交会，故能总领诸阳经之气。此处“属”强调统属关系，体现太阳经在六经传变中的首要地位。,此句出自《素问·热论》，其注解可参考《黄帝内经素问注》（王冰注）：“巨阳，谓太阳也。太阳经脉，连于风府……阳维、督脉，总会于此，故为诸阳主气。”
recuNmjdra3eLP,黄帝内经篇::一级,12. 外内合邪(《素问·咳论》),词语解释题,,,,外内合邪：指外感邪气与内伤寒凉饮食二者相会。,外内合邪指外感邪气与内伤寒凉饮食相合，共同导致疾病。《素问·咳论》认为咳嗽不仅因外邪侵袭皮毛，还与寒凉饮食伤胃后上逆于肺相关，二者结合使肺气受寒而发为咳。,“皮毛先受邪气，邪气以从其合也。其寒饮食入胃，从肺脉上至于肺，则肺寒，肺寒则外内合邪，因而客之，则为肺咳。”
recuNmjdra9AZk,黄帝内经篇::一级,13. 枢折挈(《素问·痿论》),词语解释题,,,,枢折挈：形容关节如同枢轴之折断不能活动，不能提举物品。枢，枢纽，此处指关节。折，断也。挈，《广雅》云：“提也。”据王冰注：“膝腕枢纽如折去而不相提 挈。”疑“挈”上脱“不”字。,枢折挈指关节如枢轴折断般无法活动，失去提举功能。"枢"指关节枢纽，"折"为断裂，"挈"为提举。王冰注指出膝腕关节失效如折，原文可能存在脱字"不"，应为"不相提挈"，强调功能丧失的病机。,出自《素问·痿论》"枢折挈，胫纵而不任地也"，原文描述痿证患者因关节失用导致下肢无力支撑身体。
recuNmjdraJcqP,黄帝内经篇::一级,14. 守经隧(《素问·调经论》),词语解释题,,,,守经隧：即通过调治经脉以保持经脉的畅通、协调。经隧，指经脉。,守经隧指通过调治经脉维持其畅通与协调，强调经脉在运行血气、调节脏腑功能中的核心作用。“守”体现主动维护，“经隧”即经脉，是气血运行的通道。这一概念源于《调经论》对经脉功能的根本性论述。,《素问·调经论》：“五藏之道，皆出于经隧，以行血气，血气不和，百病乃变化而生，是故守经隧焉。”
recuNmjdraX85J,黄帝内经篇::一级,15. 气血以并，阴阳相倾(《素问·调经论》),词语解释题,,,,气血以并，阴阳相倾：指人体内气血阴阳的偏盛与偏衰。张介宾曰：“并，偏盛也。倾，倾陷也。”,该句出自《素问·调经论》，指人体气血阴阳发生偏盛或偏衰的病理状态。“并”为偏盛，“倾”为倾陷，即失衡。张介宾的注解强调气血阴阳的盛衰失调是疾病发生的内在机制，如气乱、血瘀、阳亢或阴虚等，均属此类范畴。,《素问·调经论》云：“血气以并，病形以成，阴阳相倾。”此句总述气血阴阳失调为疾病之根，后文详述“气并于血”“血并于气”等具体病机，与“阳虚则外寒，阴虚则内热”等临床表现相呼应。
recuNmjdra4Vez,黄帝内经篇::一级,16. 化不可代，时不可违(《素问·五常政大论》),词语解释题,,,,化不可代，时不可违：指造化之气不可以人力代之。生长收藏，各应四时之化，也非人力所能及。因此不能违背万物自然生化的规律。化，谓造化。,该句强调自然造化与四时规律不可人为替代或违背。“化”指自然造化之力，即万物生化之机，非人力可取代；“时”即四时之序，生长收藏各依其时，人应顺应而非违逆。此句体现了中医“天人相应”“顺时养生”的核心思想。,语出《素问·五常政大论》。原文强调“化不可代”指自然生化规律不可强改，“时不可违”指四时气机变化须遵循，如“夫经络以通，血气以从……谨守其气，无使倾移”，皆呼应顺应天时的治疗原则。
recuNmjdra2Pfr,黄帝内经篇::一级,17. 审察病机，无失气宜(《素问·至真要大论》),词语解释题,,,,张介宾注：“病随气动，必察其机；治之得起要，是无失气宜也。”即审查病机要从六气主时的规律出发，辨证治疗要与六气主时相，结合。,张介宾的注解强调，疾病的发生与六气（风、寒、暑、湿、燥、火）的运行规律密切相关。因此，在诊断和治疗时，必须细致分析病机，结合六气主时的特性，使治疗措施符合气候、时节等“气宜”的要求，从而达到辨证施治的目的。,“审察病机，无失气宜”出自《素问·至真要大论》。张介宾注：“病随气动，必察其机；治之得其要，是无失气宜也。”此句强调通过把握六气变化规律来审辨疾病机理，确保治疗与自然气候相适应。
recuNmjdraM7lK,黄帝内经篇::一级,18. 中精之腑(《灵枢·本输》),词语解释题,,,,肝藏胆汁，精气所化，故为中精之腑。中，谓脏腑之中。,题目中“中精之腑”出自《灵枢·本输》，需明确其具体含义。根据中医经典理论，“中精之腑”特指胆。因胆贮藏胆汁，而胆汁为肝之余气所化生，属于清净精微之物，故称“中精之腑”。答案中“肝藏胆汁”的表述不准确，因胆汁实藏于胆，肝主疏泄胆汁而非贮藏。需注意脏腑功能区别。,《灵枢·本输》云：“胆者，中精之府。”又《难经·四十二难》补充：“胆在肝之短叶间，盛精汁三合。”此即“中精之腑”的经典依据，强调胆贮藏精汁的特性。
recuNmjdra3X8R,黄帝内经篇::一级,19. 上焦如雾(《灵枢·营卫生会》),词语解释题,,,,指上焦具有宣发水谷精微所化生的营卫作用，尤其强调布散卫气于周身，如雾露之溉。,上焦如雾指上焦宣发水谷精微及卫气至全身，尤如雾露弥漫滋养。上焦主心肺功能，推动气血输布，符合卫气“温分肉，充皮肤，肥腠理，司开阖”的特性。雾的意象强调其轻柔、广泛覆盖的特点。,“上焦如雾，中焦如沤，下焦如渎”（《灵枢·营卫生会》）
recuNmjdraDGFD,黄帝内经篇::一级,20. 三部之气(《灵枢·百病始生》),词语解释题,,,,指伤于上部的风雨、伤于下部的清湿与伤于内脏的喜怒这三类邪气。,三部之气指三种不同来源的致病邪气，分别对应人体上、中、下三部。其中“风雨”属阳邪，多伤人体上部（如头面）；“清湿”属阴邪，易袭人体下部（如足膝）；“喜怒”为情志内伤，直接影响内脏（如五脏）。此分类体现了中医外感六淫与内伤七情的病因理论。,《灵枢·百病始生》云：“三部之气，所伤异类……喜怒不节则伤脏，风雨则伤上，清湿则伤下。三部之气，所伤异类。”
recuNmjdraUnk3,黄帝内经篇::一级,"1. 《素问·阴阳应象大论》“治病必求于本”中的“治病”是指具体治疗疾病；“本”,即疾病的本质，包括病因、病位等。",判断题,对||错,B,,,题目中“本”的解释不准确。《素问·阴阳应象大论》中“治病必求于本”的“本”指阴阳这一根本规律，而非具体病因、病位。原文强调治疗需遵循阴阳对立统一的总纲，而非仅针对疾病表象或局部特征。因此题干对“本”的定义偏离经典原意，答案应为“错”。,“阴阳者，天地之道也，万物之纲纪，变化之父母，生杀之本始，神明之府也，治病必求于本。”（《素问·阴阳应象大论》）
recuNmjdraotnz,黄帝内经篇::一级,2. 《素问·阴阳应象大论》中有“清阳出上窍”与“阳气出上窍”两句经文，前句中的“清阳”是指人体而言，包括呼吸之气及发声、视觉、嗅觉、味觉、听觉等功能赖以发挥作用的精微物质；后句中的“阳气”是指药食气味而言。阳为气，阴为味，故称“阳气出上窍”。,判断题,对||错,A,,,《素问·阴阳应象大论》中“清阳出上窍”的“清阳”指人体轻清之阳气，包括呼吸之气及感官功能所依赖的精微物质；“阳气出上窍”的“阳气”则指药食气味的属性（阳为气）。因原文强调“阳为气，阴为味”，故题干对两者的区分符合经典理论。,“清阳出上窍，浊阴出下窍”“阳为气，阴为味。味归形，形归气，气归精，精归化。”（《素问·阴阳应象大论》）
recuNmjdraSNSr,黄帝内经篇::一级,"3. 《素问·阴阳应象大论》“热胜则肿”与“寒伤形……形伤肿”两句经文中“肿”,均指形体肿胀。",判断题,对||错,B,,,《素问·阴阳应象大论》中“热胜则肿”的“肿”指热邪壅滞导致的局部红肿（如痈肿），属阳证；而“寒伤形……形伤肿”的“肿”指寒邪凝滞气血、阳气不运引发的水肿或虚浮肿胀，属阴证。二者病因病机不同，故虽同用“肿”字，含义实异。,《素问·阴阳应象大论》：“寒伤形，热伤气……热胜则肿，寒胜则浮。”王冰注：“热胜则阳气内郁，故红肿暴作；寒胜则阴气结聚，故浮肿为壅。”
recuNmjdrafE1Z,黄帝内经篇::一级,4. “阴在内，阳之守也；阳在外，阴之使也。”这句经文说明了阴阳之间互相为用，相互转换的关系。,判断题,对||错,B,,,该句出自《素问·阴阳应象大论》，强调阴阳的互根互用关系，即阴阳相互依存、互为根本。阴为阳守于内提供物质基础，阳为阴运行于外发挥功能，体现的是“互根互用”，而非“相互转换”。阴阳转化需特定条件（如“重阴必阳，重阳必阴”），与此句语境不同，故原题表述错误。,“阴在内，阳之守也；阳在外，阴之使也。”（《素问·阴阳应象大论》）
recuNmjdraRDIx,黄帝内经篇::一级,5. 《素问·五脏别论》认为五气入鼻，藏于肺，纳于肾。,判断题,对||错,B,,,该题判断错误的原因在于《素问·五脏别论》并未提及“五气入鼻，藏于肺，纳于肾”的内容。实际上，“五气入鼻，藏于心肺”出自《素问·六节藏象论》，强调肺主呼吸、心藏神明，而肾主纳气的功能属于后世对肺肾关系的理论延伸，并非原文表述。,“天食人以五气，地食人以五味。五气入鼻，藏于心肺，上使五色修明，音声能彰。”（《素问·六节藏象论》）
recuNmjdra88qD,黄帝内经篇::一级,6. 《素问·阴阳应象大论》曰：“按尺寸，观浮沉滑涩而知病所生。”经文中的“尺寸”是指寸口脉中的尺、寸两部；“浮沉滑涩”是指寸口脉象：浮脉、沉脉、滑脉、涩脉。,判断题,对||错,B,,,题目中的“尺寸”应指诊察尺肤（前臂内侧皮肤）和寸口脉，而非仅寸口脉的尺、寸两部；“浮沉”对应脉象，“滑涩”则可能涉及尺肤的触诊，而非单纯寸口脉象。因此题干对经文的理解有误。,《素问·阴阳应象大论》原文为：“善诊者，察色按脉，先别阴阳……按尺寸，观浮沉滑涩而知病所生。”此处“尺寸”指尺肤与寸口脉，“浮沉滑涩”涵盖脉象与皮肤触诊的综合判断，非仅寸口脉象。
recuNmjdraBd7t,黄帝内经篇::一级,7. 《素问·阴阳应象大论》曰：“审清浊而知部分。”其意是：审察面部色泽的清明与晦浊，就可以测知疾病的病变所在。,判断题,对||错,A,,,题目中“审清浊而知部分”出自《素问·阴阳应象大论》，意指通过观察面部色泽的清明与晦浊，可以判断疾病所在的部位。此句强调望诊中色诊的重要性，清浊代表色泽的明暗与脏腑气血状态，与中医“五色主病”“分部望诊”理论相合，故答案为对。,《素问·阴阳应象大论》云：“善诊者，察色按脉，先别阴阳；审清浊，而知部分；视喘息，听音声，而知所苦；观权衡规矩，而知病所主。”
recuNmjdras62y,黄帝内经篇::一级,8. 《素问·上古天真论》说“此春气之应，养生之道也”的“养生”不只泛 指养生，此“生”是指生、长、化、收、藏的“生”。,判断题,对||错,A,,,《素问·上古天真论》中“养生”在此处特指顺应春季生发之气的调养方法，与“生、长、化、收、藏”中“生”的阶段相应，而非泛指广义的养生。四季对应五化（生、长、化、收、藏），春季主“生”，故原文强调顺应春气以养“生发”之机。,《素问·四气调神大论》云：“春三月，此谓发陈……夜卧早起，广步于庭……此春气之应，养生之道也。”此处“养生”与“春气”相应，对应生、长、化、收、藏之“生”，专指春季生发之气的调摄。
recuNmjdraKNFQ,黄帝内经篇::一级,9. 《素问·金匮真言论》“藏于精者，春不病温”一语与《素问·阴阳应象大论》“冬伤于寒，春必温病”，其精神是一致的，均强调了冬季保养肾精对预防四时发病的重要意义。,判断题,对||错,A,,,两句话虽表述角度不同，但核心思想一致。《金匮真言论》强调冬季藏精可防春温，《阴阳应象大论》指出冬寒未藏则春发温病，均以冬季肾精闭藏状态为关键，说明冬季养精对预防春季温病的重要性。,《素问·金匮真言论》：“夫精者，身之本也，故藏于精者，春不病温。”《素问·阴阳应象大论》：“冬伤于寒，春必温病。”
recuNmjdraMu0A,黄帝内经篇::一级,10. 《素问·生气通天论》提出影响阳气正常运行的因素有六淫侵袭(寒、暑、湿、风)、七情过激、烦劳过度、饮食不节。,判断题,对||错,A,,,《素问·生气通天论》中明确提到寒、暑、湿、风等外邪对阳气的干扰，如“因于寒”“因于暑”“因于湿”等；七情过激如“大怒则形气绝”，烦劳过度如“烦劳则张”，饮食不节如“饱食”“大饮”等，均属影响阳气运行的因素。题目所述内容与原文一致。,1. “因于寒，体若燔炭，汗出而散。” 2. “因于暑，汗，烦则喘喝，静则多言。” 3. “因于湿，首如裹。” 4. “阳气者，烦劳则张，精绝。” 5. “大怒则形气绝，而血菀于上，使人薄厥。” 6. “因而饱食，筋脉横解，肠澼为痔；因而大饮，则气逆。”
recuNmjdra8OdA,黄帝内经篇::一级,11. 《素问·生气通天论》对于阴阳的论述，“故阳强不能密，阴气乃绝，阴阳平和，精神乃治，阴阳离决，精气乃绝。”,判断题,对||错,B,,,题目中的论述将原文“阴平阳秘”误写为“阴阳平和”，导致与原意不符。正确表述应为“阴平阳秘，精神乃治”，强调阴阳动态平衡而非简单的“平和”。故答案为“错”（B）。,《素问·生气通天论》原文为：“凡阴阳之要，阳密乃固。两者不和，若春无秋，若冬无夏，因而和之，是谓圣度。故阳强不能密，阴气乃绝；阴平阳秘，精神乃治；阴阳离决，精气乃绝。”
recuNmjdraZZgq,黄帝内经篇::一级,12. 《素问·生气通天论》对于五味的论述，“阴之所生，本在五味，阴之五官，伤在五味。”,判断题,对||错,B,,,题目中的“阴之五官”应为“阴之五宫”，原句出自《素问·生气通天论》，正确表述为“阴之五宫，伤在五味”。“五宫”指五脏，而非“五官”，故原题引文有误，答案选B（错）。,阴之所生，本在五味；阴之五宫，伤在五味。——《素问·生气通天论》
recuNmjdra1ROc,黄帝内经篇::一级,13. 《素问·金匮真言论》对于季节发病特点的论述，“夫精者，身之本也。故藏于精者，春不病温。”,判断题,对||错,B,,,题目中引用的原文“夫精者，身之本也。故藏于精者，春不病温”实际出自《素问·生气通天论》，而非《素问·金匮真言论》，因此题干所述出处错误。,《素问·生气通天论》云：“夫精者，身之本也。故藏于精者，春不病温。”
recuNmjdraroAH,黄帝内经篇::一级,14. 《素问·阴阳应象大论》对于刺法的论述，“其高者，因而越之；其下者，引而竭之。”,判断题,对||错,A,,,该论述正确，出自《素问·阴阳应象大论》。原文强调根据病邪所在部位选择治法：病位高（如胸膈以上）用“越法”（如涌吐）祛邪；病位低（如腹部以下）用“引而竭之”（如利水、通便）。此属“因势利导”治疗原则的体现。,“其高者，因而越之；其下者，引而竭之；中满者，泻之于内。”——《素问·阴阳应象大论》
recuNmjdracxQG,黄帝内经篇::一级,15. 《素问·上古天真论》论述养生的方法，“虚邪贼风，避之有时；恬淡虚无，精气从之，精神内守，病安从来。”,判断题,对||错,B,,,题目中的句子虽整体符合《素问·上古天真论》的养生思想，但原文为“恬惔虚无，真气从之”，而非“恬淡虚无，精气从之”。“恬惔”与“恬淡”虽义近，但经典原文用字为“惔”；而“真气”与“精气”在原文语境中含义有别，此处用“精气”不符合原意，故判断为错误。,《素问·上古天真论》：“夫上古圣人之教下也，皆谓之虚邪贼风，避之有时，恬惔虚无，真气从之，精神内守，病安从来。”
recuNmjdraaxBT,黄帝内经篇::一级,16. 《素问·阴阳应象大论》中：“治病必求于本”的“本”是指病因。,判断题,对||错,B,,,题目中的“本”并非指病因，而是指阴阳。根据《素问·阴阳应象大论》的论述，阴阳是天地万物变化的根本规律，治病求“本”即遵循阴阳调和的原则。病因属于疾病发生的外在或内在条件，而“本”在此处指代更本质的阴阳关系。,《素问·阴阳应象大论》：“阴阳者，天地之道也，万物之纲纪，变化之父母，生杀之本始，神明之府也，治病必求于本。”
recuNmjdraOShd,黄帝内经篇::一级,17. 《素问·阴阳应象大论》中：“清阳出上窍”的清阳是指天之阳气。,判断题,对||错,B,,,《素问·阴阳应象大论》中“清阳出上窍”的“清阳”并非指天之阳气，而是指人体内由水谷精微所化生的轻清阳气，其功能上达头面七窍以滋养感官。天之阳气属外环境范畴，与原文强调人体内清浊升降的生理机制无关，故答案为“错”。,《素问·阴阳应象大论》：“清阳出上窍，浊阴出下窍；清阳发腠理，浊阴走五藏。”
recuNmjdraIubG,黄帝内经篇::一级,18. 《素问·阴阳应象大论》所言“阴阳之征兆”是指天地。,判断题,对||错,B,,,《素问·阴阳应象大论》中“阴阳之征兆”指的是水与火，而非天地。原文明确以水火为阴阳的具体象征，而天地被表述为“阴阳之道路”。,“水火者，阴阳之征兆也；天地者，阴阳之道路也。”（《素问·阴阳应象大论》）
recuNmjdratIHd,黄帝内经篇::一级,19. 《素问·生气通天论》所述，人体阴阳平衡协调的关键是阴平阳秘。,判断题,对||错,A,,,《素问·生气通天论》强调阴阳平衡是人体健康的核心，其中“阴平阳秘”指阴气平和、阳气固密，二者协调是维持生命活动的基础。若阴阳失衡（如“阴阳离决”），则会导致疾病甚至生命危险。题目正确引用并概括了这一核心观点。,阴平阳秘，精神乃治；阴阳离决，精气乃绝。
recuNmjdraRoHZ,黄帝内经篇::一级,20. 《素问·生气通天论》“阴平阳秘”的含义是“阴气受持于内，阳气守护于外”。,判断题,对||错,B,,,《素问·生气通天论》中“阴平阳秘”的“秘”应理解为阳气固密守内，而非“守护于外”。题干将“阳秘”解释为“阳气守护于外”，混淆了阴阳的固密与位置关系。原文强调阴阳动态平衡，阳气固守于内以维持稳定，阴气平和协调，而非单纯的内外守护分工。,《素问·生气通天论》：“阴平阳秘，精神乃治；阴阳离决，精气乃绝。”
recuNmjdratB7j,黄帝内经篇::一级,21. 因肝居于下，属木，故《素问·六节藏象论》称肝为“阴中之少阳”。,判断题,对||错,B,,,根据《素问·六节藏象论》原文，肝被描述为“阳中之少阳”，而非“阴中之少阳”。题目中“阴中之少阳”的表述混淆了《素问·金匮真言论》与《六节藏象论》的脏腑阴阳分类。肝虽属木且居下焦（属阴位），但在《六节藏象论》中因其功能特性被归为“阳中之少阳”，故答案为错。,《素问·六节藏象论》言：“肝者，罢极之本，魂之居也……此为阳中之少阳，通于春气。”
recuNmjdraUl6z,黄帝内经篇::一级,22. 因肺气肃降，属金，故《素问·六节藏象论》称肺为“阴中之太阴”。,判断题,对||错,B,,,因《素问·六节藏象论》中肺的定位为“阳中之少阴”，而非“阴中之太阴”。“阴中之太阴”实指肾，故题干表述错误。,《素问·六节藏象论》载：“肺者，气之本，魄之处也……为阳中之少阴，通于秋气。”“肾者，主蛰，封藏之本……为阴中之太阴，通于冬气。”
recuNmjdraoCIE,黄帝内经篇::一级,23. 《素问·灵兰秘典论》曰：“膀胱者……气化则能出矣。”此“出”包含汗液排出。,判断题,对||错,A,,,在《素问·灵兰秘典论》中，“膀胱者，州都之官，津液藏焉，气化则能出矣”的“出”主要指膀胱气化后尿液的排出。然而，中医理论中“气化”概念涵盖全身津液代谢的调控，包括汗液的形成与排泄。因肺主皮毛、通调水道，膀胱气化与肺的功能协同，共同参与津液输布，故“出”广义上可包含汗液排出。此题为对（A），但需注意原文核心仍以排尿为主，汗液属间接关联。,《素问·灵兰秘典论》：“膀胱者，州都之官，津液藏焉，气化则能出矣。”（注：结合《类经》等注，“气化”可引申为津液代谢的整体过程，汗液属津液之一，故纳入广义“出”的范畴。）
recuNmjdradlwy,黄帝内经篇::一级,24. 《素问·灵兰秘典论》指出：“膻中者，臣使之官，喜乐出焉。”说明喜乐只与膻中相关。,判断题,对||错,B,,,虽然《素问·灵兰秘典论》提到“膻中者，臣使之官，喜乐出焉”，但中医理论认为情志活动是整体脏腑协调的结果，并非单一脏腑所主。膻中作为臣使之官，主要负责宣发心气、传达心神，而“喜乐”的产生仍需以心（君主之官）为主导，故“喜乐只与膻中相关”的表述片面，因此答案为错。,《素问·灵兰秘典论》：“心者，君主之官也，神明出焉……膻中者，臣使之官，喜乐出焉。”
recuNmjdraAOVh,黄帝内经篇::一级,25. “满而不能实”和“实而不能满”中的两个“满”含义相同，两个“实”含义也相同。,判断题,对||错,B,,,在《素问·五脏别论》中，“满而不能实”指五脏贮藏精气宜充满但不可被水谷糟粕壅塞；“实而不能满”指六腑传化水谷可暂时充实但不可滞留精气。前句“满”指精气之充盛，后句“满”指糟粕之壅塞；前句“实”指水谷糟粕填塞，后句“实”指水谷暂时充实。二者含义均不同。,《素问·五脏别论》曰：“所谓五脏者，藏精气而不泻也，故满而不能实；六腑者，传化物而不藏，故实而不能满也。”
recuNmjdraj86X,黄帝内经篇::一级,26. 《素问·太阴阳明论》所言之“阳道实”指的是：阳经气血充足而不易受邪；“阴道虚”是指阴经气血亏虚而易受邪。,判断题,对||错,B,,,题目中的解释将“阳道实”和“阴道虚”理解为阳经气血充足不易受邪、阴经气血亏虚易受邪，这是错误的。《素问·太阴阳明论》中“阳道实，阴道虚”并非指气血的盛衰，而是强调阳经（如阳明）的病变多表现为实证（如热结、燥实），阴经（如太阴）的病变多表现为虚证（如寒湿、虚寒），体现阴阳经脉的病理特性差异。,《素问·太阴阳明论》：“阳者，天气也，主外；阴者，地气也，主内。故阳道实，阴道虚。”
recuNmjdrazjPS,黄帝内经篇::一级,27. 《素问·经脉别论》中“水精四布”是指津液遍布人体内外；“五经并行”是指四肢头面经脉都通畅。,判断题,对||错,B,,,题目中将“五经并行”解释为四肢头面经脉通畅是错误的。根据《素问·经脉别论》原文，“五经”指五脏的经脉，“五经并行”强调五脏气血协调运行，而非单纯四肢头面经脉通畅。因此原题描述错误。,饮入于胃，游溢精气，上输于脾，脾气散精，上归于肺，通调水道，下输膀胱，水精四布，五经并行。（《素问·经脉别论》）
