ID,主字段,章节,知识解析,知识拓展
recveFKWJum0t7,"<div style=""text-align: center; font-size: 24px;""><b>柴胡桂枝干姜汤</b></div>",和解剂::和解少阳剂,"方歌::[[柴胡桂枝干姜汤]],[[楼根黄芩牡蛎甘]]。<br>[[和解少阳温水饮]],[[伤寒少阳寒饮方]]<br>###组成::[[柴胡、桂枝、干姜、栝楼根、黄芩、牡蛎、炙甘草]]<br>###主治::[[伤寒邪入少阳，兼有寒饮]]。伤寒，胸胁满微结，小便不利，渴而不呕，但头汗出，往来寒热，心烦；亦治疟疾寒多微有热，或但寒不热<br>###功用::[[和解少阳，温化水饮]]",用法::上七味，以水一斗二升，煮取六升，去滓，再煎。取三升，温服一升，日三服。初服微烦，复服，汗出便愈
recveFKWJuIuJZ,"<div style=""text-align: center; font-size: 24px;""><b>柴胡加龙骨牡蛎汤</b></div>",和解剂::和解少阳剂,"方歌::[[柴胡加龙牡蛎汤]],[[桂枝参苓夏铅丹]]。<br>[[黄芩大黄生姜枣]],[[少阳痰热心神安]]<br>###组成::[[柴胡、龙骨、牡蛎、生姜、人参、桂枝、茯苓、半夏、黄芩、铅丹、大黄、大枣]]<br>###主治::[[伤寒少阳兼痰热扰心]]证(少阳气郁津凝，热扰心神)。症见胸满烦惊，小便不利，谵语，一身尽重，不可转侧<br>###功用::[[和解少阳，通阳泻热，重镇安神]]",用法::上十二味，以水八升，煮取四升，内大黄，切如棋子，更煮一二沸，去滓，温服一升
recveFKWJuXnlI,"<div style=""text-align: center; font-size: 24px;""><b>四逆散</b></div>",和解剂::调和肝脾剂,"方歌::[[四逆散方用柴胡]],[[芍药枳实甘草须]]。<br>[[证为阳郁成厥逆]],[[疏肝解郁厥自除]]<br>###组成::[[「柴胡」、枳实、白芍药、炙甘草]]<br>###主治::1.[[阳郁厥逆证]]。手足不温，或身微热，或咳，或悸，或小便不利，或腹中痛，或泄利下重，脉弦<br>2.[[肝脾不和证]]。胁肋胀闷，脘腹疼痛，脉弦<br>###功用::[[透邪解郁，疏肝理脾(疏肝理气，调理气机)]]",用法::上四味，捣筛，白饮和服方寸匕，日三服<br>###加减::若咳者，加五味子、干姜；悸者，加桂枝；小便不利者，加茯苓；腹中痛者，加炮附子；泄利下重者，加薤白<br>###方解::<b>「君」：</b>柴胡:疏肝解郁，透邪外出，升阳<br><b>「臣」：</b>白芍:敛阴泻热，补血柔肝柴芍相配:补肝血，条达肝气，使柴胡升散不耗伤阴血(散敛互用，体用兼顾，气血兼调)<br><b>「佐」：</b>枳实:理气解郁，泄热破结枳柴相合:一升一降，①并调肝脾；②增舒畅气机之力；③升清降浊枳芍相合:理气和血，使气血调和<br><b>：</b>甘草:①健脾和中；②合白芍缓急止痛；③调和诸药。原方用白饮(米汤)和服，亦取其中气和则阴阳之气自相顺接之意<br>###注意::阴阳偏盛之寒厥和热厥忌用<br>###特点::原治阳郁厥逆，后世开拓成疏肝理脾之基础方此处四逆，必不甚冷，或指头微温或脉不沉微:外邪传经入里，气机阻滞，不能宣泄，导致阳气内郁，不能达于四末
recveFKWJuV29T,"<div style=""text-align: center; font-size: 24px;""><b>逍遥散</b></div>",和解剂::调和肝脾剂,"方歌::[[逍遥散用当归芍]],[[柴苓术草加姜薄]]。<br>[[疏肝养血又健脾]],[[肝郁血虚脾气弱]]<br>###组成::[[「柴胡」、当归、白芍药、茯苓、白术、炙甘草、烧生姜、薄荷]]<br>###主治::[[肝郁血虚脾弱证]]。两胁胀痛，头痛目眩，口燥咽干，神疲食少，或往来寒热，或月经不调，乳房胀痛，苔薄，脉弦而虚者<br>###功用::[[疏肝解郁，养血健脾]]",用法::上为粗末，每服二钱，水一大盏，烧生姜一块切破，薄荷少许，同煎至七分，去渣热服，不拘时服<br>###加减::疏肝:君柴胡；血虚:当归、白芍为君；脾气虚:白术为君；脾虚湿盛:茯苓为君①加味逍遥散(逍遥散加丹皮、栀子，又称丹栀逍遥散)。功用:养血健脾，疏肝清热。主治:肝郁血虚内热证。症见烦躁易怒，或自汗盗汗，或头痛目涩，或颊赤口干，或月经不调，少腹胀痛，或经期吐衄，舌红苔薄黄，脉弦虚数<br>②黑道遥散(逍遥散加生地或熟地。若血虚而有内热者，宜加生地黄；血虚无热象者，应加熱地黄)。功用:疏肝健脾，养血调经。主治:肝脾血虚，临经腹痛，脉弦虚<br>###方解::<b>「君」：</b>柴胡:①疏肝解郁；②条达肝气；③兼使药引经<br><b>「臣」：</b>白芍:养血敛阴，柔肝缓急；当归:养血活血和血(血中气药)归芍相合:①养肝体以助肝用；②制柴胡疏泄太过<br><b>「佐」：</b>白术、茯苓、甘草:①健脾益气，实土以御木乘；②使营血生化有源烧生姜:①温胃降逆和中；②辛散达郁薄荷:①助柴胡疏肝郁；②透达肝经郁热<br><b>「佐使」：</b>甘草:①健脾益气；②调和药性<br>###注意::阴虚阳亢者慎用<br>###特点::调肝养血代表方，也是治疗肝郁血虚脾弱证基础方。妇科调经常用方
recveFKWJuS0Eu,"<div style=""text-align: center; font-size: 24px;""><b>痛泻要方</b></div>",和解剂::调和肝脾剂,"方歌::[[痛泻要方陈皮芍]],[[防风白术煎丸酌]]。<br>[[泻肝补脾湿缓痛]],[[脾虚肝郁见痛泻]]<br>###组成::[[「炒白术」、炒白芍、炒陈皮、防风]]<br>###主治::[[脾虚肝郁之痛泻]]。肠鸣腹痛，大便泄泻，泻必腹痛，泻后痛缓，舌苔薄白，脉两关不调，关脉左弦右缓或虚<br>###功用::[[补脾柔肝，祛湿止泻(健脾泻肝，缓痛止泻)]]",用法::上锉，分八帖，水煎或丸服<br>###加减::久泻者加炒升麻六钱，因久泻者，脾气益虚，清阳陷下，故加升麻以升清阳而增止泻之功<br>###方解::<b>「君」：</b>白术补脾燥湿以培土<br><b>「臣」：</b>白芍柔肝缓急止痛，兼敛脾阴；与白术相配，于土中泻木<br><b>「佐」：</b>陈皮理气燥湿，醒脾和胃<br><b>「佐使」：</b>配伍少量防风，具升散之性，与术、芍相伍，辛能散肝郁，香能舒脾气，散肝舒脾，升阳胜湿；合白芍疏肝，伍白术鼓舞脾阳，并祛湿以助止泻，又为脾经引经药<br>###注意::脾肾阳虚者慎用，湿热泻痢忌用
recveFKWJuLuSi,"<div style=""text-align: center; font-size: 24px;""><b>当归芍药散</b></div>",和解剂::调和肝脾剂,"方歌::[[当归芍药用川芎]],[[白术苓泽六味同]]。<br>[[妊娠腹中绵绵痛]],[[调肝理脾可为功]]<br>###组成::[[当归、芍药、茯苓、白术、泽泻、川芎]]<br>###主治::[[肝脾两虚，血瘀湿滞]]证(或[[肝血不足，脾虚湿停]]证)。症见腹中拘急，绵绵作痛，或脘胁疼痛，头目眩晕，食少神疲，或下肢浮肿，小便不利，舌淡苔白，脉细弦或濡缓。<br>###功用::[[养肝和血，健脾祛湿(或养血调肝，健脾祛湿，缓急止痛)]]",用法::上六味，杵为散，取方寸匕，酒服。日三服
recveFKWJus4eX,"<div style=""text-align: center; font-size: 24px;""><b>半夏泻心汤</b></div>",和解剂::调和寒热剂,"方歌::[[半夏泻心黄连芩]],[[干姜草枣人参行]]。<br>[[辛开苦降消痞满]],[[治在调阳与和阴]]<br>###组成::[[「半夏」、干姜、黄芩、人参、黄连、大枣、炙甘草]]<br>###主治::[[寒热互结之痞]]证。心下痞，但满而不痛，或呕吐，或肠鸣下利，食欲不振，舌淡苔薄黄腻，脉濡或数<br>###功用::[[寒热平调，散结除痞(和胃降逆，开结除痞)]]",用法::上七味，以水一斗，煮取六升，去滓，再煎，取三升，日三服<br>###加减::1.生姜泻心汤(减干姜二两，加生姜四两):功用和胃消痞，宣散水气，主治水热互结痞证，症见:心下痞硬，干噫食臭，腹中雷鸣下利<br>②.甘草泻心汤(加重炙甘草用量:四两):功用和胃补中，降逆消痞，主治胃气虚弱痞证，症见:下利日数十行，谷不化，腹中雷鸣，心下痞硬而满，干呕，心烦不得安<br>③.黄连汤(加黄连二两，黄芩易为桂枝):功用寒热并调，和胃降逆，主治胃热肠寒证，症见:腹中痛，心烦不得安，欲呕吐者<br>###方解::<b>「君」：</b>半夏:散结消痞，和胃降逆止呕<br><b>「臣」：</b>干姜:①温中散寒；②助半夏温胃消痞以和阴黄连、黄芩:泄里热以和阳开痞。君臣相配:寒热平调，辛开苦降<br><b>「佐」：</b>人参、大枣、甘草:①健脾益气，补虚和中；②兼生津液；③既防芩、连苦寒伤阳，又防夏、姜辛热伤阴<br><b>「佐使」：</b>炙甘草:①补脾和中；②调和诸药<br>###注意::脾胃阴虚证者忌用。本方主治虚实互见之证，若因气滞或食积所致的心下痞满，不宜使用<br>###特点::治疗中气虚弱，寒热互结，升降失常的基础方，又是寒热平调，散结除痞的代表方体现辛开苦降，寒热平调法(半夏、干姜、黄芩、黄连)，补泻兼用法。本方即小柴胡汤去柴胡、生姜，加黄连、干姜而成。因无半表证，故去解表之柴胡、生姜，痞因寒热错杂而成，故加寒热平调之黄连、干姜，变和解少阳之剂，而为调和肠胃之方。后世师其法，随证加减，广泛应用于中焦寒热错杂、升降失调诸症
recveFKWJuQRPK,"<div style=""text-align: center; font-size: 24px;""><b>生姜泻心汤</b></div>",和解剂::调和寒热剂,"方歌::[[生姜泻心生干姜]],[[炙草参枣夏芩连]]。<br>[[和胃消痞散水气]],[[水热互结痞硬良]]<br>###组成::[[生姜、炙甘草、人参、干姜、黄芩、半夏、黄连、大枣]]<br>###主治::[[水热互结痞]]证。症见心下痞硬，干噫食臭，腹中雷鸣下利<br>###功用::[[和胃消痞，宣散水气(和胃消痞，散结除水)]]",用法::上八味，以水一斗，煮取六升，去滓，再煎，取三升，温服一升，日三服<br>###注意::生姜泻心汤即半夏泻心汤减干姜二两，加生姜四两而成。生姜泻心汤旨在温胃止呕而散水气，适用于水气偏重，呕逆突出，并伴干噫食臭者
recveFKWJuml0a,"<div style=""text-align: center; font-size: 24px;""><b>甘草泻心汤</b></div>",和解剂::调和寒热剂,"方歌::[[甘草泻心有干姜]],[[炙草参枣夏芩连]]。<br>[[和胃补中降逆痞]],[[胃气虚痞下利将]]<br>###组成::[[炙甘草、黄芩、人参、干姜、黄连、大枣、半夏]]<br>###主治::[[胃气虚弱痞]]证。症见下利日数十行，谷不化，腹中雷鸣，心下痞硬而满，干呕，心烦不得安，少气乏力<br>###功用::[[和胃补中，降逆消痞(益气和胃，消痞止呕)]]",用法::上七味，以水一斗，煮取六升，去滓，再煎，取三升，温服一升，日三服<br>###注意::甘草泻心汤即半夏泻心汤加重炙甘草用量至四两，甘草泻心汤加甘草一两，使补脾益气、甘缓和中之力增加，适用于脾胃受损较重，下利日数十行，水谷不化，心烦气短等症
recveFKWJuUOqi,"<div style=""text-align: center; font-size: 24px;""><b>白虎汤</b></div>",清热剂::清气分热剂,"方歌::[[白虎膏知甘梗镶]],[[气分热盛此方良]]。<br>[[热渴汗出脉洪大]],[[又加人参气津强]]<br>###组成::[[「石膏」、知母、粳米、炙甘草]]<br>###主治::[[阳明气分热盛]]证。壮热面赤，烦渴引饮，汗出恶热，脉洪大有力(身大热，汗大出，口大渴，脉洪大)<br>###功用::[[清热生津(清热泻火，除烦生津)]]",用法::上四味，以水一斗，煮米熟汤成，去滓，温服一升，日三服<br>###加减::①加人参，为白虎加人参汤。功用:清热，益气，生津。主治:气分热盛，气津两伤证。汗、吐、下后，里热炽盛而见四大症者(阳明气分热盛，壮热面赤，汗多口渴，脉大无力)；以及白虎汤证见有背微恶寒，或饮不解渴，或脉浮大而芤者(暑温热盛津伤，身热，汗出口渴，背微恶寒)；以及暑热病见有身大热属气津两伤者。<br>②加桂枝，为白虎加桂枝汤。功用:清热，通络，和营卫。主治:温疟。症见其脉如平，身无寒但热，骨节疼烦，时呕；以及风湿热痹而见壮热，气粗烦躁，关节肿痛，口渴，苔白，脉弦数。<br>③加苍术，为白虎加苍术汤。功用:清热祛湿。主治:湿温病。症见身热胸痞，汗多，舌红苔白腻等；以及风湿热痹，身大热，关节肿痛等<br>###方解::<b>「君」：</b>石膏:大清阳明气分之热，清热不伤阴(清中有透，寒而不遏)，生津止渴除烦<br><b>「臣」：</b>知母:清热养阴。①助石膏清肺胃实热；②滋阴润燥(救已伤之津液)君臣相须为用，增清热生津之力。阳明气分大热之最佳配伍<br><b>「佐」：</b>粳米、炙甘草:①益胃护津；②防君臣药大寒伤中<br><b>「佐使」：</b>炙甘草:①同前；②调和诸药<br>###注意::①表证未解的无汗发热，口不渴者；<br>②脉见浮细或沉者；<br>③血虚发热，脉洪不胜重按；<br>④真寒假热之阴盛格阳证均忌用本方。“伤寒脉浮，发热无汗，其表不解者，不可与白虎汤。”(《伤寒论·辨太阳病脉证并治》)“白虎本为达热出表，若其人脉浮弦而细者，不可与也；脉沉者，不可与也；不渴者，不可与也；汗不出者，不可与也。常须识此，勿令误也。”(《温病条辨》)<br>###特点::治疗伤寒阳明经证或温病气分热盛之基础方。吴瑭称之为“辛凉重剂”白虎汤(伤寒化热内传阳明或温病邪热传入气分)→白虎加人参汤(气分热盛，气津两伤)→竹叶石膏汤(热病之后，气分余热未清，气津已伤，胃气不和)→生脉散(感受暑热之邪或温热病后期，伤气耗津)
recveFKWJu1Gjq,"<div style=""text-align: center; font-size: 24px;""><b>竹叶石膏汤</b></div>",清热剂::清气分热剂,"方歌::[[竹叶石膏汤人参]],[[麦冬半夏甘粳临]]。<br>[[热病后期热未清]],[[清热益气养阴津]]<br>###组成::[[「石膏」、粳米、炙甘草、麦门冬、人参、半夏、竹叶]]<br>###主治::[[【*热病后期，余热未清，气津两伤::《伤寒论》中治“伤寒解后，虚赢少气，气逆欲吐”证*】]]证。身热多汗，心胸烦闷，气逆欲呕，口干喜饮，虚赢少气，或虚烦不寐，舌红苔少，脉细虚数<br>###功用::[[清热生津，益气和胃]]",用法::上七味，以水一斗，煮取六升，去滓，内粳米，煮米熟汤成，去米，温服一升，日三服<br>###加减::①阴虚火逆，口舌糜烂，舌红而干者:加石斛、天花粉、沙参；<br>②胃火炽盛，消谷善饥，舌红脉数者:加知母、黄连、玄参<br>###方解::<b>「君」：</b>石膏:清热生津，除烦止渴<br><b>「臣」：</b>人参:益气生津；麦冬:养阴生津，合而气津双补<br><b>「佐」：</b>半夏:降逆和胃以止呕逆；其性虽温，但配入清热生津药中，则温燥之性去而降逆之用存，且有助于转输津液，使参、麦补而不滞，使石膏清而不寒(麦冬:半夏=2:1)竹叶:清热除烦，兼以生津；粳米:养胃和中<br><b>「使」：</b>炙甘草:①健脾益气和中；②调和诸药本方清、补两顾，使余热得清，气津得复，胃气因和，则诸症可愈<br>###注意::本方清凉质润，如内有痰湿，或阳虚发热，均应忌用<br>###特点::本方与白虎汤相比。“以大寒之剂，易为清补之方”。寓“去性存用”之意。本方在实际运用中，凡热病过程中见气津已伤、身热有汗不退、胃失和降等均可使用。对于暑温病发热气津已伤者，尤为适合
recveFKWJuXZAW,"<div style=""text-align: center; font-size: 24px;""><b>栀子豉汤</b></div>",清热剂::清气分热剂,"方歌::[[栀子鼓汤治懊恼]],[[虚烦不眠此方好]]。<br>[[热郁胸膈宣郁热]],[[呕姜少气加甘草]]<br>###组成::[[「栀子」、豆豉]]<br>###主治::[[热郁胸膈]]证。(伤寒汗吐下后)虚烦不眠，身热懊恼，反复颠倒，胸脘痞闷，饥不能食，舌红苔微黄，脉数<br>###功用::[[清宣郁热(清宣郁热，除烦止躁)]]",用法::以水四升，先煮栀子，得二升半，纳鼓，煮取一升半，去滓分为二服，温进一服，得吐者，止后服
recveFKWJumZaZ,"<div style=""text-align: center; font-size: 24px;""><b>清营汤</b></div>",清热剂::清营凉血剂,"方歌::[[清营汤治热传营]],[[清营解毒透热宁]]。<br>[[犀地银翘玄连竹]],[[丹麦养阴营热清]]<br>###组成::[[「犀角(水牛角代)」、生地黄、玄参、麦冬、银花、连翘、竹叶心、黄连、丹参]]<br>###主治::[[热人营分]]证。身热夜甚，神烦少寐，时有谵语，目常喜开或喜闭，口渴或不渴，或斑疹隐隐，舌绛而干，脉细数<br>###功用::[[清营解毒，透热养阴]]","用法::上药，水八杯，煮取三杯，日三服<br>###加减::①气分热盛，宜重用金银花、连翘、竹叶，减少水牛角、生地黄、玄参的用量；<br>②神昏谵语重，加服安宫牛黄丸；<br>③寸脉细数，舌干较甚，去黄连；<br>④高热烦躁抽搐，加羚羊角，钩藤，地龙，并服紫雪丹<br>###方解::<b>「君」：</b>犀角:清灵透发，寒而不遏，清营热而“能解疫毒”(清营解毒)<br><b>「臣」：</b>生地黄:清营凉血滋阴；玄参:滋阴尤善清热降火解毒；麦冬:清热养阴生津三味相合:既助君清营凉血解毒，又可养阴生津君臣相合:①咸寒与甘寒并用；②清营热而滋营阴；③祛邪扶正兼顾<br><b>「佐」：</b>金银花、连翘:清热解毒，轻宣透泄；竹叶:清心除烦使营分之热邪转出气分而解，""入营犹可透热转气""黄连:清心解毒；丹参:清心凉血活血，防热与血<br>###注意::舌绛而干为要。舌苔白滑者，忌用本方注:舌白滑，不惟热重，湿亦重矣，湿重忌柔润药(防滋腻而助湿留邪)<br>###特点::“透热转气”法之代表方，治疗热邪初入营分证常用方遵“热淫于内，治以咸寒，佐以苦甘”之旨，治宜咸寒清营解毒为主，辅以透热养阴"
recveFKWJudr5n,"<div style=""text-align: center; font-size: 24px;""><b>犀角地黄汤</b></div>",清热剂::清营凉血剂,"方歌::[[犀角地黄芍药丹]],[[热入血分吐衄斑]]。<br>[[蓄血发狂舌质绛]],[[解毒凉血散瘀安]]<br>###组成::[[「犀角」、生地黄、芍药、牡丹皮]]<br>###主治::[[热入血分]]证。(热扰心营)身热谵语，斑疹密布，斑色紫黑，或(热伤血络)吐血、衄血、便血、尿血(各种出血)，舌质深绛或起刺，脉细数；或(蓄血留瘀)蓄血，喜忘如狂，漱水不欲咽，自觉腹满，大便色黑易解<br>###功用::[[清热解毒，凉血散淤]]",用法::上药四味，㕮咀，以水九升，煮取三升，分三服<br>###加减::原著记载其加减:“有热如狂者，加黄芩二两；其人脉大来迟，腹不满，自言满者，为无热，不用黄芩。”(“喜忘如狂者，加大黄、黄芩”。热与血结留下焦，故加用苦寒清泄里热，所谓“甚者先平”，其瘀热速消)<br>###方解::<b>「君」：</b>犀角:清心凉血解毒<br><b>「臣」：</b>生地黄:①清热凉血滋阴；②助水牛角清热凉血；③复已失阴血；④止血<br><b>「佐」：</b>芍药、牡丹皮:清热凉血，活血散瘀，收斑<br>###特点::温病热入血分证的基础方。本方证不清其热则血不宁，不散其血则瘀不去，即“入血就恐耗血动血，直须凉血散血”，故组方配伍当以清热解毒，凉血散淤
recveFKWJuXPRF,"<div style=""text-align: center; font-size: 24px;""><b>清瘟败毒饮</b></div>",清热剂::气血两清剂,"方歌::[[清瘟败毒地连芩]],[[丹石栀甘竹叶寻]]。<br>[[犀角玄翘知芍桔]],[[气血两燔此方真]]<br>###组成::[[生石膏、知母、甘草、黄连、黄芩、栀子、犀角、生地、赤芍、丹皮、连翘、竹叶、玄参、桔梗]]<br>###主治::[[瘟疫热毒]]，[[气血两燔]]证。大热渴饮，头痛如劈，干呕狂躁，谵语神昏，或发斑，或吐血、衄血，或四肢抽搐，或厥逆，舌绛唇焦，脉沉细而数，或沉数，或浮大数<br>###功用::[[清热泻火，凉血解毒]]",用法::疫证初起，恶寒发热，头痛如劈，烦躁谵妄，身热肢冷，舌刺唇焦，上呕下泄，六脉沉细而数，即用大剂；沉而数者，用中剂；浮大而数者，用小剂。如斑一出，即用大青叶，量加升麻4∼5分，引毒外透。先煮石膏数十沸，后下诸药，犀角磨汁和服<br>###加减::①原书指出:“如斑一出，即加大青叶，并少佐升麻四、五分，引毒外透，此内化外解，浊降清升之法”；<br>②头痛殊甚，两目昏花:加菊花、夏枯草；<br>③骨节疼烦，腰如被杖:黄柏、知母；<br>④热盛动风，四肢抽搐:加羚羊角、钩藤；<br>⑤热闭心包，神昏谵语，加安宫牛黄丸；<br>⑥体虚；加西洋参<br>###方解::1.重用石膏配知母、甘草，取法白虎汤，大清气分之热且保津②.黄连、黄芩、栀子同用，效仿黄连解毒汤，通泄三焦火毒③.犀角、生地黄、赤芍、牡丹皮相配，即犀角地黄汤加味，旨在清热解毒，凉血散瘀④.三方相合，大败热毒，气血两清连翘、竹叶:清气分热；玄参:清热凉血；桔梗:载药上行<br>###注意::根据疫毒轻重，斟酌药物用量。方中石膏、生地黄、犀角、黄连的用量宜大，应根据热疫之轻重选定。如六脉沉细而数，即用大剂；沉而数者，用中剂；浮大而数者，用小剂。斑一出，即用大青叶，量加升麻<br>④∼<br>⑤分，引毒外透，此内化外解，浊降清升之法<br>###特点::热毒充斥，气血两燔之代表方。本方黄连解毒汤+犀角地黄汤+白虎汤+连翘、玄参、竹叶、桔梗
recveFKWJuBAU6,"<div style=""text-align: center; font-size: 24px;""><b>凉膈散</b></div>",清热剂::清热解毒剂,"方歌::[[凉膈硝黄栀子翘]],[[黄芩甘草薄荷饶]]。<br>[[竹叶蜜煎疗膈热]],[[上中二焦热盛消]]<br>###组成::[[川大黄、芒硝、炙甘草、山栀、黄芩、薄荷、连翘、竹叶、白蜜]]<br>###主治::[[上中二焦邪热炽盛]]证。身热口渴(烦躁)，面赤唇焦，胸膈烦热，口舌生疮，睡卧不宁，谵语狂妄，便秘溲赤，或咽痛吐衄，或大便不畅，舌红苔黄，脉滑数<br>###功用::[[泻火通便，清上泄下]]","用法::上药为粗末，每服二钱，水一盏，入竹叶七片，蜜少许，煎至七分，去滓，食后温服。小儿可服半钱，更随岁数加减服之。得利下，住服<br>###加减::①大便燥结较重:硝、黄用量可适当增加；<br>②上焦热甚，壮热口渴烦躁:去芒硝，加石膏、天花粉；<br>③心经火盛，口舌生疮:加黄连；<br>④吐衄不止:加鲜茅根、鲜藕节；<br>⑤咽喉肿痛溃烂:加板蓝根、山豆根、桔梗<br>###方解::<b>「君」：</b>连翘:清热解毒，以除上焦之热<br><b>「臣」：</b>黄芩:清胸膈郁热；山栀:通泻三焦，引火下行<br><b>「佐」：</b>薄荷、竹叶:轻清疏散，协君、臣以疏散上焦之郁火大黄、芒硝:泻火通便，以荡热于中，既可除中焦有形燥结，又可使上焦无形之热借阳明为出路从下而去，以加强君臣清火之力，即所谓""以泻代清""<br><b>「佐使」：</b>白蜜，甘草:①缓硝、黄峻泻之力；②兼以益胃护津；③调和诸药，且白蜜可润肠通便<br>###注意::虽有通腑之力，然治重在胸膈之热，而不在大便之秘，即使无大便秘结，但胸隔灼热如焚者，亦可用之。①服用本方，得利下后，应当停服；<br>②孕妇以及体虚者慎用<br>###特点::治疗上中二焦火热炽盛之常用方。亦为以泻代清代表方"
recveFKWJujEgh,"<div style=""text-align: center; font-size: 24px;""><b>普济消毒饮</b></div>",清热剂::清热解毒剂,"方歌::[[普济消毒蒡芩连]],[[甘桔蓝根勃翘玄]]。<br>[[升柴陈僵参或薄]],[[大头瘟毒服之痊]]<br>###组成::[[黄芩、黄连、连翘、鼠黏子(即牛蒡子)、人参、白僵蚕、玄参、板蓝根、马勃、桔梗、生甘草、橘红、升麻、柴胡、薄荷]]<br>###主治::[[风热疫毒，壅于上焦之大头瘟]]。头面红肿掀痛，目不能开，咽喉肿痛，恶寒发热，舌燥口渴，舌红苔白兼黄，脉浮数有力<br>###功用::[[清热解毒，疏风散邪]]","用法::上为细末，半用汤调，时时服之；半蜜为丸，噙化之<br>###加减::①《东垣试效方》论“时毒治验”中，称本方“或加防风、薄荷、川芎、当归”，“如大便硬，加酒煨大黄一钱或二钱以利之""；<br>②《温病条辨》以本方去升麻、柴胡，加银花、荆芥，治“温毒咽痛喉肿，耳前耳后肿，颊肿，面正赤，后喉不痛，但外肿甚则耳聋，俗称大头瘟“者<br>###方解::<b>「君」：</b>黄芩、黄连:清热泻火解毒，以祛上焦头面热毒；(酒炒令药通行周身，直达病所)<br><b>「臣」：</b>连翘、牛蒡子、薄荷、僵蚕:疏散头面、肌表之风热<br><b>「佐」：</b>玄参、马勃、板蓝根:增强清热解毒；合薄荷、桔梗、甘草:清利咽喉，玄参滋阴，又可防苦燥升散之品伤阴；桔梗载药上行以助升、柴之力陈皮:理气疏壅，以利散邪郁结消肿；人参:补气，扶正祛邪<br><b>「佐使」：</b>升麻、柴胡:疏散风热，并引诸药上达头面，使风热疫毒之邪得以宣散透发，寓有“火郁发之”之意；苓连得升麻、柴胡引药上行；升柴得芩连，升中有降，防升发太过，二者相反相成甘草:①清利咽喉；②兼和诸药<br>###注意::素体阴虚以及脾虚便溏者慎用本方<br>###特点::治疗大头癌之代表方。体现:火郁发之"
recveFKWJu2sWW,"<div style=""text-align: center; font-size: 24px;""><b>仙方活命饮</b></div>",清热剂::清热解毒剂,"方歌::[[仙方活命金银花]],[[防芷归陈草芍加]]。<br>[[贝母花粉及乳没]],[[山甲皂刺酒煎佳]]。<br>[[热毒肿坚活血痛]],[[初起疮毒用无差]]<br>###组成::[[金银花、当归尾、赤芍、乳香、没药、皂角刺、炙穿山甲、白芷、防风、贝母、天花粉、陈皮、生甘草(酒)]]<br>###主治::[[痈疡肿毒初起]]。(阳证痈疽初起)红肿掀痛，或身热凛寒，舌苔薄白或黄，脉数有力<br>###功用::[[清热解毒，消肿溃坚，活血止痛]]",用法::上用酒一大碗，煎五、七沸服<br>###加减::①疮痈瘀滞不甚而疼痛较轻:去乳香、没药；<br>②热毒甚而见局部红肿热痛明显，伴舌红，脉数，宜加蒲公英、紫花地丁、野菊花、连翘；<br>③本方出自《校注妇人良方》。《医方集解》亦有仙方活命饮，较本方少赤芍<br>###方解::<b>「君」：</b>金银花:善清热解毒疗疮，既能泻热清气，又能清解血毒，且具有芳香透散之性而助消痛散结，“疮疡圣药”<br><b>「臣」：</b>当归尾、赤芍:活血通滞和营；乳香、没药:散瘀消肿止痛陈皮:理气行滞，有利于消肿止痛。共合:行气活血通络，消肿止痛<br><b>「佐」：</b>白芷、防风:辛温发散，疏散外邪，通滞散结，正合“汗之则疮已”贝母、天花粉:清热化痰散结穿山甲、皂角刺:通行经络，透脓溃坚，解毒消肿<br><b>「使」：</b>甘草:清热解毒，调和诸药煎药加酒:通瘀而行周身，助药力直达病所<br>###注意::①痈疽已溃者，不宜使用；<br>②阴疽者忌用；体虚者慎用<br>###特点::疮疡之圣药，外科之首方。热毒痈肿常用方。使脓未成者即散，已成者即溃此疡门开手攻毒第一方也。较全面体现外科阳证疮疡内治消法的基本配伍法则
recveFKWJui7h6,"<div style=""text-align: center; font-size: 24px;""><b>黄连解毒汤</b></div>",清热剂::清热解毒剂,"方歌::[[黄连解毒汤四味]],[[黄芩黄柏栀子备]]。<br>[[三焦火毒炎炎盛]],[[泻火解毒此方推]]<br>###组成::[[「黄连」、黄芩、黄柏、栀子]]<br>###主治::[[三焦火毒热盛]]证。大热烦躁，口燥咽干，错语不眠；或热病吐血、衄血；或热甚发斑，或身热下痢，或湿热黄疸；或外科痈疡疗毒。小便黄赤，舌红苔黄，脉数有力<br>###功用::[[泻火解毒]]",用法::上四味切，以水六升，煮取二升，分二服<br>###加减::若便秘者可加大黄以泻下实热。吐血、衄血、发斑可加生地、元参、丹皮以凉血化斑，清热止血。瘀热发黄，加茵陈、大黄，以加强清热解毒，祛湿退黄之功<br>###方解::<b>「君」：</b>黄连既入上焦以清泻心火，泻中焦之火<br><b>「臣」：</b>黄芩清上焦之火，黄柏泻下焦之火<br><b>「佐使」：</b>栀子清泻三焦之火，导热下行，引邪热从小便而出“苦寒直折”法之代表方。苦寒直折，清热解毒的基础方。本证乃火毒热盛，充斥三焦，波及上下内外所致。根据“诸痛痒疮，皆属于心”。本方对于热毒壅聚肌膝之痈肿疗毒，亦可泻心火、解热毒而治之<br>###注意::本方为大苦大寒之剂，久服或过量服用易伤脾胃，故非壮实体质，非火盛者不宜使用。津液受损较重者，不宜使用
